Order_ID,Order_Date,Customer_ID,Customer_Name,Region,State,Category,Sub_Category,Product_Name,Quantity,Unit_Price,Sales,Profit,Payment_Method,Segment
100001,10/16/2024,CUST1279,Customer 45,West,California,Office Supplies,Printer,HP LaserJet,4,176.05,704.2,-37.94,PayPal,Consumer
100002,1/31/2023,CUST1214,Customer 113,West,California,Technology,Laptop,Lenovo ThinkPad,4,862.06,3448.24,743.43,PayPal,Home Office
100003,10/12/2023,CUST1172,Customer 53,West,California,Office Supplies,Binder,1in Binder,5,195.02,975.1,322.51,Credit Card,Corporate
100004,4/10/2023,CUST1193,Customer 41,South,Florida,Office Supplies,Printer,HP LaserJet,8,648.11,5184.88,1751.98,Cash,Home Office
100005,9/25/2024,CUST1119,Customer 52,South,Texas,Office Supplies,Paper,A4 Paper,4,929.95,3719.8,1277.19,PayPal,Corporate
100006,4/9/2024,CUST1036,Customer 88,South,Texas,Furniture,Cabinet,Metal Cabinet,5,845.17,4225.85,877.27,Debit Card,Consumer
100007,4/18/2024,CUST1117,Customer 17,Central,Ohio,Office Supplies,Pens,Marker Pack,6,1012.99,6077.94,1514.62,Cash,Corporate
100008,10/2/2023,CUST1234,Customer 74,West,California,Office Supplies,Printer,HP LaserJet,8,480.8,3846.4,1198.33,Cash,Consumer
100009,9/10/2023,CUST1252,Customer 47,South,Florida,Office Supplies,Binder,1in Binder,4,1196.82,4787.28,-180.72,Credit Card,Consumer
100010,6/6/2023,CUST1128,Customer 284,East,Massachusetts,Office Supplies,Paper,Premium Paper,7,719.11,5033.77,556.85,Credit Card,Home Office
100011,4/28/2023,CUST1134,Customer 257,South,Florida,Technology,Keyboard,Keychron K2,3,549.93,1649.79,543.14,Debit Card,Home Office
100012,4/19/2023,CUST1057,Customer 186,South,Texas,Technology,Keyboard,Logitech K120,1,722.74,722.74,86.64,Cash,Consumer
100013,3/1/2023,CUST1281,Customer 85,East,New York,Technology,Mouse,Logitech M185,3,162.79,488.37,55.61,Cash,Home Office
100014,9/13/2024,CUST1191,Customer 225,Central,Illinois,Office Supplies,Pens,Marker Pack,5,484.8,2424,490.28,PayPal,Consumer
100015,9/11/2023,CUST1030,Customer 118,East,New York,Furniture,Chair,Mesh Chair,4,710.24,2840.96,-274.9,Credit Card,Consumer
100016,12/5/2023,CUST1295,Customer 243,West,California,Furniture,Bookcase,Oak Bookcase,3,870.79,2612.37,776.06,Debit Card,Corporate
100017,2/21/2024,CUST1027,Customer 51,East,New York,Technology,Mouse,HP Mouse,7,499.21,3494.47,1008.95,Credit Card,Corporate
100018,12/14/2023,CUST1236,Customer 128,West,California,Technology,Monitor,Samsung View,8,176.82,1414.56,-24.66,Credit Card,Corporate
100019,7/17/2024,CUST1109,Customer 206,West,California,Office Supplies,Paper,A4 Paper,4,207.91,831.64,98.58,Credit Card,Consumer
100020,1/24/2024,CUST1284,Customer 250,West,Washington,Furniture,Bookcase,Cube Shelf,7,838.94,5872.58,1343.22,Debit Card,Consumer
100021,10/31/2023,CUST1257,Customer 272,East,New York,Office Supplies,Paper,Copy Paper,6,78.03,468.18,76.26,Debit Card,Consumer
100022,6/4/2024,CUST1291,Customer 127,West,California,Technology,Laptop,Lenovo ThinkPad,4,490.49,1961.96,635.12,Credit Card,Home Office
100023,3/25/2023,CUST1153,Customer 235,Central,Ohio,Furniture,Desk,Corner Desk,6,294.04,1764.24,137.79,Cash,Consumer
100024,1/10/2023,CUST1035,Customer 126,Central,Illinois,Technology,Monitor,Samsung View,5,167.62,838.1,47.82,Cash,Corporate
100025,6/11/2023,CUST1068,Customer 136,Central,Ohio,Office Supplies,Paper,Copy Paper,5,1118.79,5593.95,-298.64,Credit Card,Consumer
100026,7/20/2024,CUST1135,Customer 259,East,Massachusetts,Furniture,Desk,Corner Desk,6,252.28,1513.68,280.65,PayPal,Corporate
100027,2/22/2023,CUST1134,Customer 83,West,Washington,Furniture,Chair,Ergo Chair,6,927.63,5565.78,1039.14,PayPal,Home Office
100028,12/23/2024,CUST1298,Customer 283,Central,Illinois,Technology,Laptop,Lenovo ThinkPad,3,659.25,1977.75,545,Debit Card,Corporate
100029,5/11/2023,CUST1181,Customer 287,West,Washington,Furniture,Chair,Office Chair,4,821.66,3286.64,657.72,PayPal,Home Office
100030,6/8/2023,CUST1210,Customer 128,East,New York,Technology,Mouse,Logitech M185,3,886.51,2659.53,131.6,Cash,Consumer
100031,12/19/2024,CUST1156,Customer 117,West,Washington,Technology,Mouse,Logitech M185,4,981.74,3926.96,420.72,Debit Card,Consumer
100032,11/6/2024,CUST1274,Customer 170,East,Massachusetts,Furniture,Cabinet,Metal Cabinet,5,427.86,2139.3,276.47,Credit Card,Consumer
100033,9/25/2023,CUST1223,Customer 262,East,Massachusetts,Technology,Laptop,Lenovo ThinkPad,7,421.37,2949.59,748.88,Credit Card,Corporate
100034,8/13/2024,CUST1169,Customer 161,East,Massachusetts,Technology,Mouse,Logitech M185,4,443.42,1773.68,-121.52,Credit Card,Home Office
100035,11/4/2023,CUST1194,Customer 90,South,Florida,Furniture,Bookcase,Modern Bookcase,5,669.75,3348.75,-45.78,Cash,Corporate
100036,7/15/2024,CUST1109,Customer 262,West,Washington,Furniture,Desk,Wood Desk,6,563.34,3380.04,334.53,PayPal,Home Office
