Order_ID,Order_Date,Customer_ID,Customer_Name,Region,State,Category,Sub_Category,Product_Name,Quantity,Unit_Price,Sales,Profit,Payment_Method,Segment
100001,2024-10-16,CUST1279,Customer 45,West,California,Office Supplies,Printer,HP LaserJet,4,176.05,704.2,-37.94,PayPal,Consumer
100002,2023-01-31,CUST1214,Customer 113,West,California,Technology,Laptop,Lenovo ThinkPad,4,862.06,3448.24,743.43,PayPal,Home Office
100003,2023-10-12,CUST1172,Customer 53,West,California,Office Supplies,Binder,1in Binder,5,195.02,975.1,322.51,Credit Card,Corporate
100004,2023-04-10,CUST1193,Customer 41,South,Florida,Office Supplies,Printer,HP LaserJet,8,648.11,5184.88,1751.98,Cash,Home Office
100005,2024-09-25,CUST1119,Customer 52,South,Texas,Office Supplies,Paper,A4 Paper,4,929.95,3719.8,1277.19,PayPal,Corporate
100006,2024-04-09,CUST1036,Customer 88,South,Texas,Furniture,Cabinet,Metal Cabinet,5,845.17,4225.85,877.27,Debit Card,Consumer
100007,2024-04-18,CUST1117,Customer 17,Central,Ohio,Office Supplies,Pens,Marker Pack,6,1012.99,6077.94,1514.62,Cash,Corporate
100008,2023-10-02,CUST1234,Customer 74,West,California,Office Supplies,Printer,HP LaserJet,8,480.8,3846.4,1198.33,Cash,Consumer
100009,2023-09-10,CUST1252,Customer 47,South,Florida,Office Supplies,Binder,1in Binder,4,1196.82,4787.28,-180.72,Credit Card,Consumer
100010,2023-06-06,CUST1128,Customer 284,East,Massachusetts,Office Supplies,Paper,Premium Paper,7,719.11,5033.77,556.85,Credit Card,Home Office
100011,2023-04-28,CUST1134,Customer 257,South,Florida,Technology,Keyboard,Keychron K2,3,549.93,1649.79,543.14,Debit Card,Home Office
100012,2023-04-19,CUST1057,Customer 186,South,Texas,Technology,Keyboard,Logitech K120,1,722.74,722.74,86.64,Cash,Consumer
100013,2023-03-01,CUST1281,Customer 85,East,New York,Technology,Mouse,Logitech M185,3,162.79,488.37,55.61,Cash,Home Office
100014,2024-09-13,CUST1191,Customer 225,Central,Illinois,Office Supplies,Pens,Marker Pack,5,484.8,2424.0,490.28,PayPal,Consumer
100015,2023-09-11,CUST1030,Customer 118,East,New York,Furniture,Chair,Mesh Chair,4,710.24,2840.96,-274.9,Credit Card,Consumer
100016,2023-12-05,CUST1295,Customer 243,West,California,Furniture,Bookcase,Oak Bookcase,3,870.79,2612.37,776.06,Debit Card,Corporate
100017,2024-02-21,CUST1027,Customer 51,East,New York,Technology,Mouse,HP Mouse,7,499.21,3494.47,1008.95,Credit Card,Corporate
100018,2023-12-14,CUST1236,Customer 128,West,California,Technology,Monitor,Samsung View,8,176.82,1414.56,-24.66,Credit Card,Corporate
100019,2024-07-17,CUST1109,Customer 206,West,California,Office Supplies,Paper,A4 Paper,4,207.91,831.64,98.58,Credit Card,Consumer
100020,2024-01-24,CUST1284,Customer 250,West,Washington,Furniture,Bookcase,Cube Shelf,7,838.94,5872.58,1343.22,Debit Card,Consumer
100021,2023-10-31,CUST1257,Customer 272,East,New York,Office Supplies,Paper,Copy Paper,6,78.03,468.18,76.26,Debit Card,Consumer
100022,2024-06-04,CUST1291,Customer 127,West,California,Technology,Laptop,Lenovo ThinkPad,4,490.49,1961.96,635.12,Credit Card,Home Office
